scenario_params_dhw:default_heater_capacity_w_MAX,scenario_params_dhw:default_heater_capacity_w_MIN,scenario_params_dhw:default_heater_capacity_w_VAL,scenario_params_dhw:dhw_heater_capacity_w_MAX,scenario_params_dhw:dhw_heater_capacity_w_MIN,scenario_params_dhw:dhw_heater_capacity_w_VAL,scenario_params_dhw:dhw_waterheater.Heater_Maximum_Capacity_MAX,scenario_params_dhw:dhw_waterheater.Heater_Maximum_Capacity_MIN,scenario_params_dhw:dhw_waterheater.Heater_Maximum_Capacity_VAL,error
7502.360885589627,3770.704962976163,4699.733684975718,5269.861475932908,271.77831419016417,4212.729099632944,6336.680582523593,1088.9855775807227,4108.387827987805,873017154.976496
5937.9127069726355,1652.990283197286,4542.593594357195,8237.332384449328,2555.6950808053307,3989.7167802830404,7851.21721864346,687.7354704316274,4662.408667632805,873017154.976496
9994.511666146693,2347.750889656644,4298.5558497717675,7797.300020719463,502.03981324312963,4205.710338449966,7821.8764985625385,1864.6908498758492,3961.5810451391217,873017154.976496
8593.587126114915,1266.6446157335986,4380.0093975226555,5249.784242487861,2947.405861484936,4661.41414081927,9734.98607662979,2132.4207871051585,3494.150684202776,873017154.976496
9226.519625712994,1000.392897630805,4424.3089384608975,7516.680252449012,1299.7125279458016,3715.102738462442,7980.915184914395,1932.2800445813011,3779.276457531323,873017154.976496
9152.363097836987,3653.947897926788,4530.852373702785,7509.786800910377,2786.2710975768273,3812.664118723291,6784.411962215704,2522.30197329091,4740.9569373923805,873017154.976496
7268.218784444463,542.6561948253461,4887.2593085285025,9861.910386267644,2510.7498729327035,4511.210430210596,5850.952222675153,2507.8067790016235,4086.592832785663,873017154.976496
5723.43990160254,3433.6245055207055,4002.8355514800164,5952.178623498769,846.8523961474242,3598.1622566737688,5143.162838018349,87.1000043265264,4495.282884419992,873017154.976496
5495.8923083952095,2421.7071661412515,4453.715417575471,8366.602784298684,2881.2187564496007,4564.073541005292,6157.558152975354,2435.4071012117406,4677.5652541248855,873017154.976496
7870.5000216573135,3050.422527747399,4367.56105061535,10006.711695687074,2855.414682179058,4742.194975604578,8324.957697881084,2072.99941359886,4761.124231159689,873017154.976496
7502.360885589627,817.6924974149271,4699.733684975718,5481.296065507419,2291.405670593257,4630.275985361035,6654.39810638039,1088.9855775807227,4218.793814838052,873017154.976496
7178.382634702,3104.912917297341,4951.292140579582,5588.851108548228,2941.126449837758,4205.710338449966,8276.942341619497,516.4810675747102,4979.3585612279385,873017154.976496
8514.154360777102,326.0079497915358,4646.127091143719,8237.332384449328,846.8523961474242,3989.7167802830404,6633.140690270918,2394.8443368455773,4511.159449687993,873017154.976496
5937.9127069726355,798.7909257787234,4002.8355514800164,5984.353642375887,1623.7084934402885,4524.421657468872,7851.21721864346,687.7354704316274,4662.408667632805,873017154.976496
5937.9127069726355,316.9030850828851,4419.825543753443,7679.701267380573,1777.3279187113633,5025.037115388817,8643.40642773854,1450.213042068091,4662.408667632805,873017154.976496
7730.0687260384575,1427.8967041414537,4776.1903997034215,6932.919920351056,3153.457876162406,3715.5298479921557,8120.997574802184,1864.6908498758492,3961.5810451391217,873017154.976496
6179.976902101762,550.7804313141071,4774.964483531488,7797.300020719463,502.03981324312963,4512.388993258348,8683.10656355781,250.1898936257573,3692.8566386567895,873017154.976496
7329.165998105294,1268.1106818419275,4196.301919483074,8316.282868963577,3158.0758952385218,4872.312226295822,8232.621537922958,1864.6908498758492,3961.5810451391217,873017154.976496
7870.5000216573135,3050.422527747399,4367.56105061535,7174.162751722127,1328.5956917122987,4742.194975604578,6493.7254171369705,1518.990964551183,3786.9325625686643,873017154.976496
9465.658460390037,3770.704962976163,4096.681486024735,6746.526415981657,363.18627282893857,4951.915168545596,5327.112519412325,131.4735040919985,4082.2235260141024,873017154.976496
9465.658460390037,2762.0010436741018,4313.692483445855,6746.526415981657,3081.6740407514126,3795.0094946463837,6654.39810638039,2286.014667247375,4218.793814838052,873017154.976496
7502.360885589627,817.6924974149271,4096.681486024735,8973.981877572138,3321.11227592248,4338.017655560246,5327.112519412325,1939.7489138077017,4308.270536746352,873017154.976496
5937.9127069726355,2744.294479564442,4419.825543753443,10042.88902121448,846.8523961474242,3989.7167802830404,7011.751468476874,2394.8443368455773,4662.408667632805,873017154.976496
9301.432905635607,871.6052346918364,4964.144376380686,10027.884044273356,1777.3279187113633,5055.769056945981,6633.140690270918,1450.213042068091,4511.159449687993,873017154.976496
7870.5000216573135,134.30510301712317,4660.2124238107435,7174.162751722127,2501.9688277411697,4980.888961071262,6298.6241173791,1518.990964551183,4014.5168747545986,873017154.976496
7329.165998105294,3050.422527747399,4999.572007017811,10041.030459176302,881.0432169617122,4872.312226295822,6739.561627239664,3166.2585402533928,3786.9325625686643,873017154.976496
9796.488970742652,550.7804313141071,4637.728591760656,8264.15605232154,3101.690990451532,4760.396236312507,10093.514402703135,3004.7790656168795,4598.557413312126,873017154.976496
8727.28280627442,1621.1131924171452,4367.56105061535,8134.759047390963,784.314441725151,4742.194975604578,6493.7254171369705,2772.759961709994,3728.5175415160293,873017154.976496
7329.165998105294,1006.7989511556115,4901.136044856433,5609.97310752203,1286.3292559638319,3976.4304379993728,6017.526876701537,1083.3892220241848,3961.5810451391217,873017154.976496
7730.0687260384575,1268.1106818419275,4776.1903997034215,10088.577853595596,3158.0758952385218,4331.072399619764,8964.798876561292,1864.6908498758492,3961.5810451391217,873017154.976496
8070.534686859599,1034.9534816146218,4640.478876660078,10041.030459176302,541.0294841326435,4378.96808554032,9371.372240104603,1053.742919578421,4967.638051400491,873017154.976496
8467.182708582228,1221.5200101419957,4133.947769650711,6887.410590574815,3158.0758952385218,3909.983668888135,8964.798876561292,1864.6908498758492,3430.7010959024137,873017154.976496
6754.077394764155,3320.2828661701587,4660.2124238107435,10042.88902121448,2501.9688277411697,5004.964201577757,9457.012806286164,2394.8443368455773,4014.5168747545986,873017154.976496
7870.5000216573135,2744.294479564442,4932.725562725924,9923.01695251329,846.8523961474242,4827.385969082675,8361.943068205113,1518.990964551183,4048.1021750962336,873017154.976496
6566.7573872045305,1998.3301650906303,4383.0699256757725,8973.981877572138,1869.68847824693,3846.4457036908148,8362.059698844792,2908.319155979644,3548.282727249016,873017154.976496
9765.081008773488,817.6924974149271,4707.900607118098,7787.084437306272,1777.3279187113633,4338.017655560246,8608.639468596875,204.29818970921897,3592.9904723246746,873017154.976496
9661.987662689244,550.7804313141071,4223.185060950652,8264.15605232154,155.35175262947843,4293.392391965623,8480.16856231984,1543.1482838860343,3944.508169272576,873017154.976496
9037.984523402707,2649.7757126157962,4096.681486024735,8973.981877572138,3101.690990451532,3557.054568439991,8671.893958920584,945.4088709916138,3983.8179461296813,873017154.976496
6399.272771403619,797.8312266663465,4279.775987438971,7404.107331575398,2091.930439916733,4872.312226295822,5394.58767971094,3166.2585402533928,3917.2434571191425,873017154.976496
7329.165998105294,3985.5681940258287,4660.2124238107435,10041.030459176302,2501.9688277411697,4369.518257455786,8701.187336534009,3338.046749710891,4929.156202073427,873017154.976496
9426.601266975686,5.124629978759732,4479.4892503971605,8761.460949063607,249.03222839839216,4576.213404541188,8845.143221996037,204.29818970921897,3592.9904723246746,873017154.976496
6804.144606136366,405.03124389334255,4843.769074346937,7825.4035531867885,2541.478023835349,4556.332032967536,6546.710466083634,86.94980311852308,3959.3299806567934,873017154.976496
9746.274082257925,2801.6484863477326,4660.2124238107435,7887.42482241084,505.57684078372097,4369.518257455786,5603.1946140829505,2307.986254137117,3450.6603192451953,873017154.976496
5165.355222539926,550.7804313141071,4875.180556125417,8264.15605232154,1244.5022527612716,3987.3445565767593,8480.16856231984,1605.5572542730497,4124.753502575873,873017154.976496
7870.5000216573135,692.8026259285791,4932.725562725924,9923.01695251329,846.8523961474242,4827.385969082675,10132.813952675424,2884.6939159172425,3424.940272000542,873017154.976496
5127.276355601868,2630.4587386994,4660.2124238107435,7689.420676253178,2501.9688277411697,4369.518257455786,8701.187336534009,2896.498747557712,4929.156202073427,873017154.976496
6917.752381538468,1094.1114488059984,4634.498969152671,10041.030459176302,2783.412886430896,4669.998959971417,6082.926541451368,2886.1076570569494,4521.788598100271,873017154.976496
8670.383096557605,1051.9756624549275,4198.646661706282,6887.410590574815,1238.554363252322,4543.752008112257,5645.651729914437,2428.4009900762944,4217.0528126898225,873017154.976496
8422.320666907364,1162.2687089507178,4379.750779115888,9732.294473359445,3184.1893632575648,4554.5974246956175,6879.749173089768,883.8770160938086,4073.3446381342665,873017154.976496
5454.477734557661,3395.382299104003,4412.338547675549,10041.030459176302,1661.0663591152086,4378.96808554032,9371.372240104603,1680.4099715387833,4967.638051400491,873017154.976496
5165.355222539926,2314.2175428167066,4875.180556125417,9807.857655883889,1400.3164897521704,4033.006751392451,9782.052039126018,2063.8045905392505,4075.8130356724387,873017154.976496
9340.17686827205,3256.1048702178746,4660.2124238107435,7689.420676253178,968.3502885647714,4645.844361097357,6852.942249470389,1605.5572542730497,4124.753502575873,873017154.976496
7331.656691047896,3384.056784362082,4743.669966245749,9945.535853792153,3137.4341987271437,4574.043938227488,7820.10321692158,137.28554321861213,3424.940272000542,873017154.976496
8584.341419179565,2744.1741571949296,4634.498969152671,9231.698720717337,851.088459849906,3502.305335836942,9556.248278379753,2886.1076570569494,4521.788598100271,873017154.976496
8386.445227525313,20.119356296020463,4479.4892503971605,5565.528209004493,249.03222839839216,3751.54223973677,8845.143221996037,1320.9952006848546,3592.9904723246746,873017154.976496
5376.999783966883,2478.0631086173316,4655.472980696953,8142.152653868931,1965.9569343045182,4235.336946670028,7797.489859316842,204.29818970921897,4521.788598100271,873017154.976496
8268.376565669421,1448.8917768603642,4634.498969152671,6887.410590574815,2783.412886430896,3767.6890326497255,8328.899669264338,559.5106300656695,4002.6496474117685,873017154.976496
8670.383096557605,2413.8986032988423,4482.240935112481,6376.67477812452,325.35134662870814,4137.400774680594,7752.88506022034,2648.35259733188,4781.288736622563,873017154.976496
6072.2907076904,3703.4471511913966,4091.0885842387042,8264.15605232154,127.55900005438937,3753.201581910664,9956.153017743114,2896.498747557712,4479.265584308466,873017154.976496
5165.355222539926,2398.059651569958,4660.2124238107435,5524.800187390872,3141.1019807386656,4369.518257455786,5434.694335402228,1605.5572542730497,3644.537552394516,873017154.976496
