Parameter,Correlation,AbsCorrelation,TargetVariable
ground_floor_win_material_name,,,Electricity:Facility [J](Hourly)
ground_floor_window_construction_name,,,Electricity:Facility [J](Hourly)
hrv_eff,,,Electricity:Facility [J](Hourly)
hrv_eff_range,,,Electricity:Facility [J](Hourly)
infiltration_base,,,Electricity:Facility [J](Hourly)
infiltration_base_range,,,Electricity:Facility [J](Hourly)
infiltration_schedule_name,,,Electricity:Facility [J](Hourly)
infiltration_total_m3_s,,,Electricity:Facility [J](Hourly)
inter_floor_R_value,,,Electricity:Facility [J](Hourly)
inter_floor_R_value_range_used,,,Electricity:Facility [J](Hourly)
inter_floor_U_value,,,Electricity:Facility [J](Hourly)
inter_floor_U_value_range_used,,,Electricity:Facility [J](Hourly)
inter_floor_area_m2,,,Electricity:Facility [J](Hourly)
inter_floor_construction_name,,,Electricity:Facility [J](Hourly)
inter_floor_opq_material_name,,,Electricity:Facility [J](Hourly)
inter_floor_win_material_name,,,Electricity:Facility [J](Hourly)
inter_floor_window_construction_name,,,Electricity:Facility [J](Hourly)
interior_wall_R_value,,,Electricity:Facility [J](Hourly)
interior_wall_R_value_range_used,,,Electricity:Facility [J](Hourly)
interior_wall_U_value,,,Electricity:Facility [J](Hourly)
interior_wall_U_value_range_used,,,Electricity:Facility [J](Hourly)
interior_wall_area_m2,,,Electricity:Facility [J](Hourly)
interior_wall_construction_name,,,Electricity:Facility [J](Hourly)
interior_wall_opq_material_name,,,Electricity:Facility [J](Hourly)
interior_wall_win_material_name,,,Electricity:Facility [J](Hourly)
interior_wall_window_construction_name,,,Electricity:Facility [J](Hourly)
lights_fraction_radiant,,,Electricity:Facility [J](Hourly)
lights_fraction_replaceable,,,Electricity:Facility [J](Hourly)
lights_fraction_visible,,,Electricity:Facility [J](Hourly)
lights_wm2,,,Electricity:Facility [J](Hourly)
obj_type,,,Electricity:Facility [J](Hourly)
parasitic_wm2,,,Electricity:Facility [J](Hourly)
roughness,,,Electricity:Facility [J](Hourly)
system_type,,,Electricity:Facility [J](Hourly)
tD,,,Electricity:Facility [J](Hourly)
tN,,,Electricity:Facility [J](Hourly)
top_opaque_material_name,,,Electricity:Facility [J](Hourly)
top_window_material_name,,,Electricity:Facility [J](Hourly)
ventilation_schedule_name,,,Electricity:Facility [J](Hourly)
ventilation_total_m3_s,,,Electricity:Facility [J](Hourly)
window1C_construction,,,Electricity:Facility [J](Hourly)
windows_R_value_range_used,,,Electricity:Facility [J](Hourly)
windows_U_value,,,Electricity:Facility [J](Hourly)
windows_U_value_range_used,,,Electricity:Facility [J](Hourly)
windows_area_m2,,,Electricity:Facility [J](Hourly)
windows_construction_name,,,Electricity:Facility [J](Hourly)
windows_opq_material_name,,,Electricity:Facility [J](Hourly)
windows_win_material_name,,,Electricity:Facility [J](Hourly)
windows_window_construction_name,,,Electricity:Facility [J](Hourly)
wwr,,,Electricity:Facility [J](Hourly)
wwr_range_used,,,Electricity:Facility [J](Hourly)
year_factor,,,Electricity:Facility [J](Hourly)
year_factor_range,,,Electricity:Facility [J](Hourly)
peak_hours,0.8729297334276842,0.8729297334276842,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
sched_evening,0.8431932754609479,0.8431932754609479,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Visible_Transmittance,-0.7409945833345408,0.7409945833345408,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
sched_afternoon,0.6713599415210053,0.6713599415210053,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Back_Visible_Reflectance,0.6455927613140531,0.6455927613140531,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
sched_peak,0.5409188304585197,0.5409188304585197,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
setpoint_c,0.5324376168858719,0.5324376168858719,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
default_heater_capacity_w,-0.5197308628061179,0.5197308628061179,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Front_Visible_Reflectance,-0.5186900190733593,0.5186900190733593,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
usage_split_factor,0.49289778251094013,0.49289778251094013,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
heating_day_setpoint,0.49086475905424687,0.49086475905424687,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
heating_night_setpoint,-0.47119452162842784,0.47119452162842784,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Front_Solar_Reflectance,0.4700526077659467,0.4700526077659467,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
default_tank_volume_liters,-0.4041412582629887,0.4041412582629887,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
max_heating_supply_air_temp,-0.38017290363489104,0.38017290363489104,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Specific_Heat,0.3392856615395812,0.3392856615395812,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
cooling_night_setpoint,0.3342436502916275,0.3342436502916275,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Conductivity,0.3042160079738743,0.3042160079738743,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Back_Solar_Reflectance,-0.23653812459306156,0.23653812459306156,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Density,0.22940188372027656,0.22940188372027656,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
liters_per_person_per_day,-0.2117867587505039,0.2117867587505039,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
sched_morning,0.18965268397460106,0.18965268397460106,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
cooling_day_setpoint,-0.17332179173769643,0.17332179173769643,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
occupant_density_m2_per_person,-0.1278648930893479,0.1278648930893479,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
min_cooling_supply_air_temp,0.06510170692092193,0.06510170692092193,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Solar_Transmittance,-0.04509435233796128,0.04509435233796128,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Thermal_Resistance,0.006431785280901662,0.006431785280901662,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Back_IR_Emissivity,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Dirt_Correction_Factor,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Front_IR_Emissivity,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Heater_Fuel_Type,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Heater_Maximum_Capacity,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Heater_Thermal_Efficiency,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
IR_Transmittance,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Optical_Data_Type,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Roughness,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Setpoint_Temperature_Schedule_Name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Solar_Absorptance,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Solar_Diffusing,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Tank_Volume,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Thermal_Absorptance,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Thickness,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Use_Flow_Rate_Fraction_Schedule_Name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
Visible_Absorptance,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
dhw_daily_liters,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
dhw_fraction_schedule,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
dhw_heater_capacity_w,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
dhw_heater_fuel_type,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
dhw_heater_thermal_eff,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
dhw_occupant_count,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
dhw_peak_flow_m3s,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
dhw_setpoint_schedule,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
dhw_tank_volume_m3,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
dhw_waterheater_object_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
doors_R_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
doors_U_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
doors_U_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
doors_area_m2,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
doors_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
doors_opq_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
doors_win_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
doors_window_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
equip_fraction_lost,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
equip_fraction_radiant,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
exterior_wall_R_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
exterior_wall_R_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
exterior_wall_U_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
exterior_wall_U_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
exterior_wall_area_m2,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
exterior_wall_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
exterior_wall_opq_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
exterior_wall_win_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
exterior_wall_window_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
f_ctrl,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
f_ctrl_range,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
fan_pressure,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
fan_pressure_range,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
fenestration_objects,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
final_wwr,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
flat_roof_R_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
flat_roof_R_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
flat_roof_U_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
flat_roof_U_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
flat_roof_area_m2,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
flat_roof_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
flat_roof_opq_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
flat_roof_win_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
flat_roof_window_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
flow_exponent,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
ground_floor_R_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
ground_floor_R_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
ground_floor_U_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
ground_floor_U_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
ground_floor_area_m2,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
ground_floor_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
ground_floor_opq_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
ground_floor_win_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
ground_floor_window_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
hrv_eff,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
hrv_eff_range,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
infiltration_base,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
infiltration_base_range,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
infiltration_schedule_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
infiltration_total_m3_s,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
inter_floor_R_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
inter_floor_R_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
inter_floor_U_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
inter_floor_U_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
inter_floor_area_m2,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
inter_floor_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
inter_floor_opq_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
inter_floor_win_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
inter_floor_window_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
interior_wall_R_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
interior_wall_R_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
interior_wall_U_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
interior_wall_U_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
interior_wall_area_m2,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
interior_wall_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
interior_wall_opq_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
interior_wall_win_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
interior_wall_window_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
lights_fraction_radiant,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
lights_fraction_replaceable,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
lights_fraction_visible,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
lights_wm2,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
obj_type,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
parasitic_wm2,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
roughness,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
system_type,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
tD,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
tN,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
top_opaque_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
top_window_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
ventilation_schedule_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
ventilation_total_m3_s,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
window1C_construction,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
windows_R_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
windows_U_value,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
windows_U_value_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
windows_area_m2,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
windows_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
windows_opq_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
windows_win_material_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
windows_window_construction_name,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
wwr,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
wwr_range_used,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
year_factor,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
year_factor_range,,,MYDHW_0_WATERHEATER:Water Heater Heating Energy [J](Daily)
